Location Number,Location Name,Location ID,Lat,Long,Address,URL
71,Alaska Yellow Cab,1.61E+14,61.16002693,-149.8585206,"6707 Greenwood St., Anchorage, AK",https://www.instagram.com/explore/locations/161456773878145
72,Selfie WRLD Alaska,1.03E+14,61.14442025,-149.8671112,"800 E Dimond Blvd suite 166, Anchorage, Alaska",https://www.instagram.com/explore/locations/103167175430300
73,Dimond Center,1.35E+14,61.1431,-149.868,800 E Dimond Blvd,https://www.instagram.com/explore/locations/135171099849254
74,99507,3.86E+14,61.15119277,-149.7791286,,https://www.instagram.com/explore/locations/386441648165607
75,Smokejumper Trailhead,4.72E+14,61.1586307,-149.8012679,,https://www.instagram.com/explore/locations/471559516251010
76,Alaska Botanical Garden,1.39E+14,61.17694444,-149.76,,https://www.instagram.com/explore/locations/138519659510874
77,Campbell Tract,1.44E+14,61.17800187,-149.8227608,,https://www.instagram.com/explore/locations/144127345732449
78,Turnagain Arm Trail,2.49E+15,61.17479875,-149.8331758,,https://www.instagram.com/explore/locations/2491491760867080
79,Campbell Airstrip Trailhead,4.28E+14,61.16864367,-149.7644314,,https://www.instagram.com/explore/locations/428263840543265
80,BLM Campbell Tract,1.23E+14,61.1586787,-149.8011746,,https://www.instagram.com/explore/locations/123351501146614
81,Abbott Loop Community Park,1.76E+14,61.14788392,-149.8018583,"Anchorage, AK",https://www.instagram.com/explore/locations/176117505755427
82,La Cabana De Regis - Smith,1.16E+14,61.16116635,-149.8053575,,https://www.instagram.com/explore/locations/115587310079958
83,Powerline Pass Trail,1.92E+14,61.16372022,-149.718434,,https://www.instagram.com/explore/locations/192494877531153
84,Chikaloon Alaska,4.60E+14,61.14794057,-149.8209642,,https://www.instagram.com/explore/locations/460387570647029
85,Glen Alps Trailhead,1.81E+15,61.10329515,-149.6833738,,https://www.instagram.com/explore/locations/1809952659131997
86,Flattop Mountain,1.43E+14,61.08850854,-149.6660614,,https://www.instagram.com/explore/locations/143434325673741
87,"Campbell Park, Anchorage",1.62E+15,61.17618648,-149.8178198,,https://www.instagram.com/explore/locations/1621938768045566
88,Little O'Malley Peak,1.83E+14,61.10691726,-149.6451992,,https://www.instagram.com/explore/locations/182807851769104
89,Service High School,1.08E+14,61.1386,-149.781,5577 Abbott Rd,https://www.instagram.com/explore/locations/107780199245137
90,Scenic Byway- Turnagain Arm,1.34E+14,60.99957795,-149.6495543,,https://www.instagram.com/explore/locations/134110373370088
91,"Chugach Foothills, Anchorage, Alaska",1.16E+14,61.18417138,-149.7289068,,https://www.instagram.com/explore/locations/116431121846534
92,"Basher, Anchorage",1.62E+15,61.16520582,-149.7251213,,https://www.instagram.com/explore/locations/1618178561792185
93,"Eklutna Lake, Ak",2.70E+14,61.24862968,-149.6954935,,https://www.instagram.com/explore/locations/270036899761724
94,"Mid Hillside, Anchorage",1.69E+15,61.1140551,-149.7681537,,https://www.instagram.com/explore/locations/1685644581672295
95,Hilltop Ski Area,1.10E+14,61.1408,-149.745,,https://www.instagram.com/explore/locations/109574585726892
96,Far North Bicentennial Park,1.06E+14,61.19101,-149.88638,,https://www.instagram.com/explore/locations/106295549428711
97,Arctic Valley Ski Area. Rendezvous,2.62E+14,61.18272,-149.72764,"Pioneer Dr, Anchorage, AK",https://www.instagram.com/explore/locations/262087117546736
98,"Hope, Alaska",1.08E+14,60.9194,-149.642,,https://www.instagram.com/explore/locations/108187979202238
99,"Hillside East, Anchorage",2.91E+14,61.13081931,-149.7306704,,https://www.instagram.com/explore/locations/291016297735283
100,South Bivouac Trail Head,1.53E+14,61.15324974,-149.7379178,,https://www.instagram.com/explore/locations/152988964799526
101,Stuckagain Heights,5.62E+14,61.162985,-149.69367,"Stuckagain Heights, Anchorage, Alaska",https://www.instagram.com/explore/locations/561896210493083
102,Near Point,1.42E+14,61.1545175,-149.6524439,,https://www.instagram.com/explore/locations/142178615816103
103,Hatcher Pass Lodge,1.05E+14,61.16427,-149.70185,"6160 Farpoint Dr, Anchorage, Alaska",https://www.instagram.com/explore/locations/104940549548686
104,"Tuxedni Park, Anchorage, Alaska",2.96E+14,61.16181691,-149.7055084,,https://www.instagram.com/explore/locations/295710640548295
105,Prospects Heights Trail Head,2.16E+14,61.1382083,-149.7117569,,https://www.instagram.com/explore/locations/215788285122761
106,Flat Top Trail,1.74E+14,61.10456391,-149.6845423,"13229 Glen Alps Rd, Anchorage, Alaska",https://www.instagram.com/explore/locations/173900759341334
107,Fort Richardson,1.06E+14,61.270166,-149.680822,,https://www.instagram.com/explore/locations/105528746146579
108,Powerline Trail Upper Hillside,1.07E+14,61.15259062,-149.7155987,,https://www.instagram.com/explore/locations/106631236079369
109,Hillside Ski Trails,1.21E+14,61.14006861,-149.7796016,,https://www.instagram.com/explore/locations/120800584711732
110,Chugach State Park and Turnagain Arm,1.90E+15,61.04066957,-149.7836494,"Anchorage, AK",https://www.instagram.com/explore/locations/1902794826670365
111,F45 Training Midtown Anchorage,1.14E+15,61.18109657,-149.8972937,"4307 Arctic Blvd, Anchorage, AK , USA, Anchorage, Alaska",https://www.instagram.com/explore/locations/1140839836050565
112,"Willow Crest, Anchorage, Alaska",3.72E+14,61.18246445,-149.9024935,,https://www.instagram.com/explore/locations/371644589579275
113,Vitus Energy,1.04E+14,61.18061,-149.89876,810 W. Tudor Road,https://www.instagram.com/explore/locations/103684152149178
114,Bird Ridge Trailhead,1.21E+15,61.18677,-149.90346,"Chugach Way, Anchorage, AK",https://www.instagram.com/explore/locations/1212572278803467
115,Moose Flats,3.37E+14,61.18184501,-149.8989121,"Girdwood, Alaska",https://www.instagram.com/explore/locations/336906416392325
